SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,17532 Ludlow St,Granada Hills,CA,91344,1087000,3,2.0,GH - Granada Hills,1778,6802,1976,20,611,,Active,,,https://www.redfin.com/CA/Granada-Hills/17532-Ludlow-St-91344/home/5783978,CRMLS,SR25153910,N,Y,34.270722,-118.516496
MLS Listing,,Single Family Residential,8303 Topeka Dr,Northridge,CA,91324,850000,3,2.0,NR - Northridge,1600,6799,1978,21,531,,Active,,,https://www.redfin.com/CA/Northridge/8303-Topeka-Dr-91324/home/5890766,CRMLS,SR25154322,N,Y,34.2208002,-118.5457647
MLS Listing,,Single Family Residential,3561 E 6th St,Los Angeles,CA,90023,899000,7,3.0,BOYH - Boyle Heights,2726,5648,1906,21,330,,Active,,,https://www.redfin.com/CA/Los-Angeles/3561-E-6th-St-90023/home/6943173,CRMLS,BB25151856,N,Y,34.0291702,-118.1945348
MLS Listing,,Condo/Co-op,215 W 7th St #1108,Los Angeles,CA,90014,599000,1,1.0,C42 - Downtown L.A.,860,15926,1911,21,697,690,Active,,,https://www.redfin.com/CA/Los-Angeles/215-W-7th-St-90014/unit-1108/home/21923453,CRMLS,SR25148198,N,Y,34.0449201,-118.2527066
MLS Listing,,Condo/Co-op,10757 Hortense St #102,North Hollywood,CA,91602,565000,2,2.0,NHO - North Hollywood,929,44175,1973,23,608,537,Active,August-3-2025 01:00 PM,August-3-2025 04:00 PM,https://www.redfin.com/CA/North-Hollywood/10757-Hortense-St-91602/unit-102/home/5303344,CRMLS,SR25141227,N,Y,34.1552691,-118.3657689
MLS Listing,,Multi-Family (2-4 Unit),2945 W 11th St,Los Angeles,CA,90006,1100000,4,4.0,C17 - Mid-Wilshire,2132,2025,1923,28,516,,Active,,,https://www.redfin.com/CA/Los-Angeles/2945-W-11th-St-90006/home/6910224,CRMLS,BB25144619,N,Y,34.0510389,-118.3017413
MLS Listing,,Multi-Family (2-4 Unit),503 W 79th St,Los Angeles,CA,90044,899000,6,4.0,C36 - Metropolitan Southwest,2100,6502,2006,28,428,,Active,,,https://www.redfin.com/CA/Los-Angeles/503-W-79th-St-90044/home/17241931,CRMLS,SB25149502,N,Y,33.9680121,-118.2829701
MLS Listing,,Townhouse,21535 Erwin St #131,Woodland Hills,CA,91367,700000,2,2.0,WHLL - Woodland Hills,1240,112586,1979,28,565,650,Active,August-2-2025 02:00 PM,August-2-2025 05:00 PM,https://www.redfin.com/CA/Woodland-Hills/21535-Erwin-St-91367/unit-131/home/3983274,CRMLS,SR25146359,N,Y,34.1831043,-118.5988322
MLS Listing,,Condo/Co-op,11939 Gorham Ave #103,Los Angeles,CA,90049,1170000,2,2.0,Brentwood,1686,27762,1981,33,694,650,Active,August-3-2025 02:00 PM,August-3-2025 05:00 PM,https://www.redfin.com/CA/Los-Angeles/11939-Gorham-Ave-90049/unit-103/home/6762028,TheMLS,25557393,N,Y,34.0508267,-118.4706081
MLS Listing,,Single Family Residential,917 N Avenue 51,Los Angeles,CA,90042,1275000,2,1.5,632 - Highland Park,1100,6028,1955,33,1159,,Active,,,https://www.redfin.com/CA/Los-Angeles/917-North-Avenue-51-90042/home/7082131,CRMLS,PF25141611,N,Y,34.1163077,-118.2063346
MLS Listing,,Single Family Residential,1801 S Orange Dr,Los Angeles,CA,90019,1699000,3,3.5,Mid Los Angeles,2183,1750,2025,34,778,300,Active,August-3-2025 02:00 PM,August-3-2025 05:00 PM,https://www.redfin.com/CA/Los-Angeles/1801-S-Orange-Dr-90019/home/6903051,TheMLS,25558503,N,Y,34.0429056,-118.34915
MLS Listing,,Single Family Residential,4707 Nomad Dr,Woodland Hills,CA,91364,2275000,5,3.5,WHLL - Woodland Hills,3623,14191,1972,35,628,,Active,,,https://www.redfin.com/CA/Woodland-Hills/4707-Nomad-Dr-91364/home/4239821,CRMLS,BB25143043,N,Y,34.1560331,-118.5685134
MLS Listing,,Condo/Co-op,4050 Glencoe Ave #409,Marina Del Rey,CA,90292,799000,1,1.5,C12 - Marina Del Rey,890,59240,2007,35,898,530,Active,,,https://www.redfin.com/CA/Marina-del-Rey/4050-Glencoe-Ave-90292/unit-409/home/17226903,CRMLS,OC25143585,N,Y,33.9912566,-118.4430444
MLS Listing,,Multi-Family (2-4 Unit),2922 8th Ave,Los Angeles,CA,90018,1598000,12,6.0,Mid Los Angeles,4342,7502,1922,35,368,,Active,,,https://www.redfin.com/CA/Los-Angeles/2922-8th-Ave-90018/home/6893039,TheMLS,25551797,N,Y,34.0284784,-118.3256186
MLS Listing,,Condo/Co-op,1605 Winona Blvd #102,Los Angeles,CA,90027,615000,2,2.0,637 - Los Feliz,886,6756,1988,35,694,275,Active,,,https://www.redfin.com/CA/Los-Angeles/1605-Winona-Blvd-90027/unit-102/home/8143443,CRMLS,BB25135475,N,Y,34.1001644,-118.3024865
MLS Listing,,Condo/Co-op,11813 Runnymede St #27,North Hollywood,CA,91605,265000,1,1.0,NHO - North Hollywood,750,103270,1970,35,353,510,Active,,,https://www.redfin.com/CA/North-Hollywood/11813-Runnymede-St-91605/unit-27/home/193153767,CRMLS,BB25131970,N,Y,34.2058578,-118.3908301
MLS Listing,,Single Family Residential,23441 Aetna St,Woodland Hills,CA,91367,1360000,3,2.0,WHLL - Woodland Hills,1947,11003,1963,36,699,,Active,August-3-2025 01:00 PM,August-3-2025 03:00 PM,https://www.redfin.com/CA/Woodland-Hills/23441-Aetna-St-91367/home/3184845,CRMLS,PF25141725,N,Y,34.1796984,-118.6378965
MLS Listing,,Townhouse,456 Shatto Pl #6,Los Angeles,CA,90020,789000,3,2.5,KREA - Koreatown,1259,18929,2002,36,627,550,Active,August-2-2025 01:00 PM,August-2-2025 04:00 PM,https://www.redfin.com/CA/Los-Angeles/456-Shatto-Pl-90020/unit-6/home/12281571,CRMLS,SR25142541,N,Y,34.0653625,-118.2896575
MLS Listing,,Single Family Residential,3329 Adina Dr,Los Angeles,CA,90068,1649000,3,4.0,C03 - Sunset Strip - Hollywood Hills West,1904,5040,1965,41,866,,Active,August-10-2025 02:00 PM,August-10-2025 05:00 PM,https://www.redfin.com/CA/Los-Angeles/3329-Adina-Dr-90068/home/5314109,CRMLS,SB25137333,N,Y,34.1274539,-118.3518628
MLS Listing,,Condo/Co-op,7100 Playa Vista Dr #216,Playa Vista,CA,90094,1000000,2,2.0,Playa Vista,1130,61621,2007,41,885,1083,Pre On-Market,,,https://www.redfin.com/CA/Playa-Vista/7100-Playa-Vista-Dr-90094/unit-216/home/17234166,TheMLS,25553631,N,Y,33.9696188,-118.4250578
MLS Listing,,Condo/Co-op,7211 Cozycroft Ave #40,Winnetka,CA,91306,420000,2,2.0,Winnetka,1032,,1984,43,407,600,Active,,,https://www.redfin.com/CA/Winnetka/7211-Cozycroft-Ave-91306/unit-40/home/3746067,CRMLS,P1-22803,N,Y,34.2015822,-118.5824485
MLS Listing,,Single Family Residential,14665 W Sara Ln,Panorama City,CA,91402,729995,3,3.0,Panorama City,1739,1318,2022,43,420,187,Active,,,https://www.redfin.com/CA/Panorama-City/14665-W-Sara-Ln-91402/home/169915030,TheMLS,25553665,N,Y,34.2369151,-118.4523329
MLS Listing,,Single Family Residential,6552 Farralone Ave,Woodland Hills,CA,91303,935000,3,2.0,WHLL - Woodland Hills,1539,7564,1956,49,608,,Active,,,https://www.redfin.com/CA/Woodland-Hills/6552-Farralone-Ave-91303/home/3976112,CRMLS,BB25130330,N,Y,34.1899833,-118.6099634
MLS Listing,,Single Family Residential,5940 Manola Way,Los Angeles,CA,90068,3050000,4,3.5,Hollywood Hills East,3316,5315,1986,51,920,,Active,,,https://www.redfin.com/CA/Los-Angeles/5940-Manola-Way-90068/home/7131438,TheMLS,25547149,N,Y,34.1123199,-118.3190035
MLS Listing,,Condo/Co-op,310 S Miraleste Dr #69,San Pedro,CA,90732,399000,1,1.0,186 - Miraleste Pines,760,311184,1971,55,525,529,Active,,,https://www.redfin.com/CA/San-Pedro/310-S-Miraleste-Dr-90732/unit-69/home/7734808,CRMLS,SB25125436,N,Y,33.7415216,-118.3188631
MLS Listing,,Condo/Co-op,1862 S Bentley Ave #202,Los Angeles,CA,90025,1250000,3,3.0,Westwood - Century City,1866,10491,2001,56,670,650,Active,August-3-2025 02:00 PM,August-3-2025 05:00 PM,https://www.redfin.com/CA/Los-Angeles/1862-S-Bentley-Ave-90025/unit-202/home/8114621,TheMLS,25548737,N,Y,34.0454442,-118.4407619
MLS Listing,,Single Family Residential,5337 La Roda Ave,Los Angeles,CA,90041,1995000,3,2.0,618 - Eagle Rock,2346,21773,1929,56,850,,Active,,,https://www.redfin.com/CA/Los-Angeles/5337-La-Roda-Ave-90041/home/7171193,CRMLS,BB25118593,N,Y,34.144541,-118.2051621
MLS Listing,,Single Family Residential,9241 Pali Ave,Tujunga,CA,91042,999000,3,1.5,659 - Sunland/Tujunga,1226,11269,1954,56,815,,Active,August-2-2025 02:00 PM,August-2-2025 05:00 PM,https://www.redfin.com/CA/Tujunga/9241-Pali-Ave-91042/home/5544503,CRMLS,BB25124042,N,Y,34.2376107,-118.2707289
MLS Listing,,Condo/Co-op,1045 N Kings Rd #105,West Hollywood,CA,90069,699000,2,2.0,C10 - West Hollywood Vicinity,1312,20000,1968,63,533,660,Active,,,https://www.redfin.com/CA/West-Hollywood/1045-N-Kings-Rd-90069/unit-105/home/7104948,CRMLS,SB25119744,N,Y,34.09007,-118.3721676
MLS Listing,,Condo/Co-op,321 N Oakhurst Dr #404,Beverly Hills,CA,90210,989000,2,2.0,C01 - Beverly Hills,1819,22507,1974,64,544,1217,Active,,,https://www.redfin.com/CA/Beverly-Hills/321-N-Oakhurst-Dr-90210/unit-404/home/6820316,CRMLS,PW25106113,N,Y,34.0727962,-118.3913532
MLS Listing,,Townhouse,2474 S Centinela Ave #4,Los Angeles,CA,90064,799000,2,2.5,WLA - West Los Angeles,948,5489,1986,71,843,310,Active,,,https://www.redfin.com/CA/Los-Angeles/2474-S-Centinela-Ave-90064/unit-4/home/6755030,CRMLS,SB25109799,N,Y,34.026415,-118.451106
MLS Listing,,Condo/Co-op,235 Main St #321,Venice,CA,90291,1395000,2,2.0,Venice,1366,73400,1989,71,1021,931,Active,August-3-2025 02:00 PM,August-3-2025 05:00 PM,https://www.redfin.com/CA/Venice/235-Main-St-90291/unit-321/home/6776862,TheMLS,25541613,N,Y,33.9970947,-118.4789772
MLS Listing,,Condo/Co-op,312 W 5th St #507,Los Angeles,CA,90013,424999,2,1.0,C42 - Downtown L.A.,860,27293,1923,72,494,341,Active,,,https://www.redfin.com/CA/Los-Angeles/312-W-5th-St-90013/unit-507/home/8181092,CRMLS,PF25068153,N,Y,34.0480407,-118.2512918
MLS Listing,,Single Family Residential,4152 Mount Vernon Dr,View Park,CA,90008,2150000,4,4.0,Park Hills Heights,2927,7683,1953,73,735,,Active,,,https://www.redfin.com/CA/View-Park/4152-Mount-Vernon-Dr-90008/home/6867302,TheMLS,25541023,N,Y,34.0020305,-118.3479762
MLS Listing,,Condo/Co-op,13220 Valleyheart Dr #106,Studio City,CA,91604,715000,2,2.5,STUD - Studio City,1294,16672,1988,77,553,525,Active,,,https://www.redfin.com/CA/Studio-City/13220-Valleyheart-Dr-91604/unit-106/home/5247696,CRMLS,BB25107986,N,Y,34.1476546,-118.4205546
MLS Listing,,Townhouse,11989 Laurelwood Dr #3,Studio City,CA,91604,1075000,3,2.5,STUD - Studio City,1783,10578,2004,78,603,810,Active,,,https://www.redfin.com/CA/Studio-City/11989-Laurelwood-Dr-91604/unit-3/home/8141395,CRMLS,SB25107362,N,Y,34.1419,-118.3928961
MLS Listing,,Single Family Residential,18356 Friar St,Tarzana,CA,91335,949000,3,1.5,TAR - Tarzana,1356,6090,1950,78,700,,Active,,,https://www.redfin.com/CA/Tarzana/18356-Friar-St-91335/home/3831313,CRMLS,SR25106168,N,Y,34.1858018,-118.5336625
MLS Listing,,Multi-Family (2-4 Unit),231 W 88th St,Los Angeles,CA,90003,550000,4,3.0,C37 - Metropolitan South,1907,5351,1912,80,288,,Active,,,https://www.redfin.com/CA/Los-Angeles/231-W-88th-St-90003/home/7296409,CRMLS,SB25105263,N,Y,33.957438,-118.2770815
MLS Listing,,Townhouse,10159 De Soto Ave #202,Chatsworth,CA,91311,759000,3,2.5,CHT - Chatsworth,1271,42595,1981,84,597,320,Active,,,https://www.redfin.com/CA/Chatsworth/10159-De-Soto-Ave-91311/unit-202/home/5842947,CRMLS,BB25100324,N,Y,34.2553018,-118.5893718
MLS Listing,,Single Family Residential,7647 Mason Ave,Winnetka,CA,91306,899000,3,2.0,WIN - Winnetka,2073,8622,1960,93,434,,Active,,,https://www.redfin.com/CA/Winnetka/7647-Mason-Ave-91306/home/3695028,CRMLS,BB25091792,N,Y,34.2097975,-118.5800897
MLS Listing,,Condo/Co-op,14914 Hamlin St #104,Van Nuys,CA,91411,535000,2,2.0,VN - Van Nuys,930,30945,1992,94,575,330,Active,,,https://www.redfin.com/CA/Van-Nuys/14914-Hamlin-St-91411/unit-104/home/4601781,CRMLS,PF25093119,N,Y,34.1883044,-118.4578362
MLS Listing,,Single Family Residential,10313 Christine Pl,Chatsworth,CA,91311,1549000,4,3.5,CHT - Chatsworth,3989,17588,1976,97,388,,Active,August-3-2025 01:00 PM,August-3-2025 04:00 PM,https://www.redfin.com/CA/Chatsworth/10313-Christine-Pl-91311/home/5781799,CRMLS,BB25088176,N,Y,34.2577853,-118.5617212
MLS Listing,,Condo/Co-op,100 S Doheny Dr #501,Los Angeles,CA,90048,585000,1,1.5,Beverly Center-Miracle Mile,737,90114,1971,98,794,950,Active,,,https://www.redfin.com/CA/Los-Angeles/100-S-Doheny-Dr-90048/unit-501/home/6815231,TheMLS,25529707,N,Y,34.0747051,-118.3893394
MLS Listing,,Single Family Residential,335 Sycamore Gln,Pasadena,CA,91105,3350000,5,4.5,647 - Pasadena (SW),3530,6522,1987,107,949,,Active,,,https://www.redfin.com/CA/Pasadena/335-Sycamore-Gln-91105/home/7184159,CRMLS,PF25075679,N,Y,34.1372603,-118.1842845
MLS Listing,,Vacant Land,1220 Linda Flora,Bel Air,CA,90049,125000,,,C04 - Bel Air - Holmby Hills,,30811,,121,,,Active,,,https://www.redfin.com/CA/Bel-Air/1220-Linda-Flora-90077/home/160746499,CRMLS,SB25070551,N,Y,34.092735,-118.465256
MLS Listing,,Multi-Family (2-4 Unit),4233 Michigan Ave,Los Angeles,CA,90063,840000,4,4.0,BOYH - Boyle Heights,1379,3970,1925,161,609,,Active,,,https://www.redfin.com/CA/Los-Angeles/4233-Michigan-Ave-90063/home/6959676,CRMLS,CV25037552,N,Y,34.0388753,-118.1746466
MLS Listing,,Single Family Residential,240 E 56th St,Los Angeles,CA,90011,475000,3,2.0,C42 - Downtown L.A.,932,3077,1901,174,510,,Active,,,https://www.redfin.com/CA/Los-Angeles/240-E-56th-St-90011/home/6919049,CRMLS,SB25001537,N,Y,33.9913763,-118.2703862
MLS Listing,,Single Family Residential,4512 Libbit Ave,Encino,CA,91436,2249000,4,5.0,Encino,2500,8518,1953,181,900,,Active,,,https://www.redfin.com/CA/Encino/4512-Libbit-Ave-91436/home/4917139,TheMLS,25-480923,N,Y,34.1535617,-118.4919291
MLS Listing,,Multi-Family (2-4 Unit),1515 S Walker Ave,San Pedro,CA,90731,900000,5,2.0,183 - Vista Del Oro,1512,6243,1923,1,595,,Active,,,https://www.redfin.com/CA/San-Pedro/1515-S-Walker-Ave-90731/home/7693164,CRMLS,SB25172684,N,Y,33.7303339,-118.3036723
MLS Listing,,Single Family Residential,1239 S Patton Ave,San Pedro,CA,90731,1379000,3,2.0,183 - Vista Del Oro,2016,8097,1924,1,684,,Active,August-2-2025 02:00 PM,August-2-2025 04:00 PM,https://www.redfin.com/CA/San-Pedro/1239-S-Patton-Ave-90731/home/7692808,CRMLS,SB25163584,N,Y,33.7326682,-118.3058776
MLS Listing,,Condo/Co-op,5215 Balboa Blvd #203,Encino,CA,91316,585000,2,2.0,ENC - Encino,1095,22135,1971,1,534,447,Active,,,https://www.redfin.com/CA/Encino/5215-Balboa-Blvd-91316/unit-203/home/4782452,CRMLS,SR25168309,N,Y,34.1653335,-118.5014504
MLS Listing,,Single Family Residential,613 N Gardner St,Los Angeles,CA,90036,3295000,4,4.5,Beverly Center-Miracle Mile,3127,5847,1924,1,1054,,Active,August-3-2025 02:00 PM,August-3-2025 05:00 PM,https://www.redfin.com/CA/Los-Angeles/613-N-Gardner-St-90036/home/7102779,TheMLS,25563391,N,Y,34.0822532,-118.3535286
MLS Listing,,Single Family Residential,334 N Carmelina Ave,Los Angeles,CA,90049,11999000,5,4.0,Brentwood,3627,32131,1930,1,3308,,Active,,,https://www.redfin.com/CA/Los-Angeles/334-N-Carmelina-Ave-90049/home/6838171,TheMLS,25572589,N,Y,34.0629239,-118.484275
MLS Listing,,Single Family Residential,5736 Vantage Ave,Valley Village,CA,91607,1250000,3,2.0,Valley Glen,1552,5697,1961,1,805,,Active,,,https://www.redfin.com/CA/Valley-Village/5736-Vantage-Ave-91607/home/5171152,TheMLS,25572671,N,Y,34.174946,-118.3973959
MLS Listing,,Single Family Residential,12500 Helena St,Los Angeles,CA,90049,3950000,3,2.5,Brentwood,2932,9479,1990,1,1347,,Active,August-5-2025 11:00 AM,August-5-2025 02:00 PM,https://www.redfin.com/CA/Los-Angeles/12500-Helena-St-90049/home/6838582,TheMLS,25572487,N,Y,34.051211,-118.4802376
MLS Listing,,Single Family Residential,458 N Formosa Ave,Los Angeles,CA,90036,1795000,3,3.0,C19 - Beverly Center-Miracle Mile,1930,6601,1925,1,930,,Active,August-3-2025 02:00 PM,August-3-2025 05:00 PM,https://www.redfin.com/CA/Los-Angeles/458-N-Formosa-Ave-90036/home/7102220,CRMLS,SR25172624,N,Y,34.0799455,-118.3459437
MLS Listing,,Single Family Residential,14001 Rabbit Rd,Sylmar,CA,91342,850000,4,3.0,SYL - Sylmar,2505,7848,1986,1,339,,Active,August-2-2025 02:00 PM,August-2-2025 05:00 PM,https://www.redfin.com/CA/Sylmar/14001-Rabbit-Rd-91342/home/5552530,CRMLS,AR25170713,N,Y,34.3266825,-118.4280161
MLS Listing,,Single Family Residential,7465 Whitaker Ave,Van Nuys,CA,91406,908000,3,2.0,Lake Balboa,1635,6424,1957,1,555,,Active,August-2-2025 01:00 PM,August-2-2025 04:00 PM,https://www.redfin.com/CA/Van-Nuys/7465-Whitaker-Ave-91406/home/4513954,TheMLS,25572577,N,Y,34.206547,-118.4982976
MLS Listing,,Single Family Residential,5821 W 75th St,Los Angeles,CA,90045,1699000,4,2.5,Westchester,1938,7814,1952,1,877,,Active,,,https://www.redfin.com/CA/Los-Angeles/5821-W-75th-St-90045/home/6602222,TheMLS,25571019,N,Y,33.9730996,-118.3831647
MLS Listing,,Single Family Residential,3372 Longridge Ter,Sherman Oaks,CA,91423,3750000,5,3.5,Sherman Oaks,4254,43693,1959,1,882,,Active,,,https://www.redfin.com/CA/Sherman-Oaks/3372-Longridge-Ter-91423/home/5260612,TheMLS,25570599,N,Y,34.131789,-118.4186519
MLS Listing,,Condo/Co-op,4939 Malta St,Los Angeles,CA,90042,549000,2,1.0,Highland Park,762,8399,1929,1,720,290,Active,,,https://www.redfin.com/CA/Los-Angeles/4939-Malta-St-90042/home/7078659,TheMLS,25572605,N,Y,34.1076884,-118.2049972
MLS Listing,,Condo/Co-op,10727 Wilshire Blvd #1802,Los Angeles,CA,90024,5900000,3,4.0,Westwood - Century City,3264,37858,2001,1,1808,4100,Active,,,https://www.redfin.com/CA/Los-Angeles/10727-Wilshire-Blvd-90024/unit-1802/home/8119253,TheMLS,25572625,N,Y,34.0609282,-118.4371896
MLS Listing,,Multi-Family (2-4 Unit),500 N St Louis St,Los Angeles,CA,90033,749000,6,3.0,Boyle Heights,2753,3392,1902,1,272,,Active,,,https://www.redfin.com/CA/Los-Angeles/500-N-St-Louis-St-90033/home/6938138,TheMLS,25559721,N,Y,34.0487451,-118.211185
MLS Listing,,Single Family Residential,2627 W Vernon Ave,Los Angeles,CA,90008,800000,3,3.0,LOS ANGELES,1392,16461,1997,1,575,,Active,,,https://www.redfin.com/CA/Los-Angeles/2627-W-Vernon-Ave-90008/home/6876705,MLSListings,ML82016596,N,Y,34.003882,-118.3224857
MLS Listing,,Single Family Residential,4717 Poe Ave,Woodland Hills,CA,91364,2200000,3,3.0,WHLL - Woodland Hills,3136,17797,1960,1,702,,Active,August-3-2025 02:00 PM,August-3-2025 05:00 PM,https://www.redfin.com/CA/Woodland-Hills/4717-Poe-Ave-91364/home/4231896,CRMLS,SR25172287,N,Y,34.1554178,-118.5759713
MLS Listing,,Single Family Residential,5911 Canyon Heights Ln,Los Angeles,CA,90068,1786000,3,2.5,Hollywood Hills East,1734,8218,1955,1,1030,,Active,August-3-2025 02:00 PM,August-3-2025 05:00 PM,https://www.redfin.com/CA/Los-Angeles/5911-Canyon-Heights-Ln-90068/home/7129449,TheMLS,25570817,N,Y,34.1146136,-118.3168397
MLS Listing,,Single Family Residential,1754 Mandeville Canyon Rd,Los Angeles,CA,90049,7995000,5,4.0,Brentwood,3598,27138,1952,1,2222,8,Active,,,https://www.redfin.com/CA/Los-Angeles/1754-Mandeville-Canyon-Rd-90049/home/6847359,TheMLS,25572489,N,Y,34.0659571,-118.492341
MLS Listing,,Single Family Residential,15071 Valley Vista Blvd,Sherman Oaks,CA,91403,2999999,4,4.0,Sherman Oaks,3020,9957,1962,1,993,,Pre On-Market,,,https://www.redfin.com/CA/Sherman-Oaks/15071-Valley-Vista-Blvd-91403/home/4882310,TheMLS,25572481,N,Y,34.1488428,-118.4617829
